"State","total_pop","male","female","age_18_24","avg_household_size","avg_family_size","hs_grad_plus","unemployment_rate","median_household_income","per_capita_income","uninsured","poverty_rate","median_gross_rent","unauthorized_total_pct","unauthorized_total_100k","foreignborn_total_100k","violent_crime_100k","drug_offenses_100k"
"Alabama",5074296,0.485,0.515,0.096,2.45,3.06,0.888,0.043,59674,33777,0.088,0.162,913,0.013,1280.96587191603,3768.68042384599,438.129742529801,854.52247957155
"Alaska",733583,0.526,0.474,0.094,2.56,3.16,0.933,0.046,88121,43054,0.11,0.11,1329,0.014,1363.17226544236,7507.26230024414,767.057033764414,180.620325171112
"Arizona",7359197,0.5,0.5,0.098,2.53,3.1,0.892,0.043,74568,39819,0.103,0.125,1450,0.035,3397.10976618781,13081.4272263672,446.176396691106,539.787153408178
"Arkansas",3045637,0.494,0.506,0.096,2.44,3.06,0.891,0.045,55432,31380,0.084,0.168,846,0.022,2298.36976632475,5124.47806485146,653.229521443297,1001.66237801813
"California",39029342,0.501,0.499,0.094,2.82,3.39,0.847,0.053,91551,46661,0.065,0.122,1870,0.045,4611.91479989593,26718.3213081071,503.562166126193,300.848013271656
"Colorado",5839926,0.507,0.493,0.093,2.4,2.99,0.93,0.035,89302,49071,0.071,0.094,1646,0.029,2910.99579001515,9546.83329891509,500.36592929431,466.375772569721
"Connecticut",3626205,0.49,0.51,0.097,2.45,3.07,0.915,0.047,88429,51581,0.052,0.098,1360,0.04,4136.555986217,15672.3351272198,153.576535248283,170.481260711956
"Delaware",1018396,0.486,0.514,0.085,2.47,3.04,0.92,0.043,82174,42571,0.056,0.094,1274,0.024,2454.84074957089,9928.35792756452,392.381745411412,903.872363992003
"District of Columbia",671803,0.476,0.524,0.102,1.94,3.02,0.937,0.051,101027,71699,0.029,0.133,1843,0.036,3721.32902056109,14870.1330598405,815.417614985345,244.565743231275
"Florida",22244823,0.492,0.508,0.083,2.47,3.03,0.899,0.04,69303,40278,0.112,0.127,1525,0.052,5169.74219125052,21655.4881106494,292.913097128262,107.013663358886
"Georgia",10912876,0.488,0.512,0.098,2.61,3.19,0.895,0.042,72837,38378,0.117,0.127,1269,0.034,3436.30771576622,10703.1546954258,371.240358636898,413.374072975813
"Hawaii",1440196,0.504,0.496,0.083,2.83,3.37,0.929,0.036,92458,42710,0.035,0.102,1813,0.031,3124.57471066438,17128.4325189071,276.212404422731,223.094634341437
"Idaho",1939033,0.504,0.496,0.1,2.63,3.14,0.92,0.03,72785,35980,0.082,0.107,1138,0.02,2062.88392203743,5981.22878775142,248.732228899663,1366.14487736929
"Illinois",12582032,0.495,0.505,0.093,2.43,3.1,0.904,0.048,76708,43317,0.066,0.119,1170,0.032,3179.13672449728,14386.3884625313,290.533357409995,172.682759032881
"Indiana",6833037,0.497,0.503,0.099,2.44,3.05,0.902,0.036,66785,35984,0.07,0.126,972,0.018,1756.1737189481,6066.49722517235,311.325696026525,594.640421235828
"Iowa",3200517,0.502,0.498,0.101,2.33,2.93,0.935,0.029,69588,38917,0.045,0.11,891,0.018,1718.47235930945,5959.25595770933,290.734278243171,642.833642189684
"Kansas",2937150,0.502,0.498,0.104,2.43,3.04,0.921,0.036,68925,37919,0.086,0.12,975,0.027,2723.72878470626,7067.497403946,446.861753740871,982.006366716034
"Kentucky",4512310,0.495,0.505,0.092,2.4,2.97,0.89,0.043,59341,33980,0.056,0.165,891,0.011,1108.07989699289,4009.01090572235,219.931697955149,836.866261404912
"Louisiana",4590241,0.49,0.51,0.095,2.46,3.13,0.873,0.054,55416,32171,0.069,0.186,984,0.015,1416.04765414278,4202.28480378263,639.704974096131,762.792193263927
"Maine",1385340,0.494,0.506,0.079,2.23,2.73,0.946,0.033,69543,41188,0.066,0.108,1033,0.005,360.922228478208,4072.5742417024,105.533659607028,266.216235725526
"Maryland",6164660,0.487,0.513,0.086,2.54,3.14,0.914,0.04,94991,49236,0.061,0.096,1550,0.049,4866.44843349025,16703.4353881641,424.532739842911,347.123766760859
"Massachusetts",6981974,0.49,0.51,0.1,2.41,3.02,0.913,0.041,94488,54025,0.024,0.104,1634,0.047,4654.84403121524,18044.6246290805,324.206306124887,122.501172304566
"Michigan",10034118,0.496,0.504,0.095,2.4,3.02,0.918,0.046,66986,38151,0.045,0.134,1052,0.013,1295.57974103952,6928.39171315307,463.309281393741,256.754006680009
"Minnesota",5717184,0.502,0.498,0.089,2.4,3.01,0.94,0.032,82338,45021,0.045,0.096,1200,0.016,1661.65720746437,8725.02966495394,283.268826051427,478.347382207744
"Mississippi",2940057,0.485,0.515,0.102,2.48,3.09,0.876,0.049,52719,29045,0.108,0.191,873,0.008,850.323650187734,2226.07929029947,243.940848765857,547.302314206833
"Missouri",6177957,0.493,0.507,0.094,2.38,3,0.916,0.037,64811,36640,0.086,0.132,954,0.011,1133.06065419361,4088.32563904216,494.354363424673,821.177615836433
"Montana",1122867,0.505,0.495,0.092,2.36,2.95,0.94,0.03,67631,38329,0.083,0.121,1005,0.004,399.958320976572,2340.08123847259,428.902087246308,438.520323422097
"Nebraska",1967923,0.502,0.498,0.098,2.39,3.02,0.928,0.023,69597,38997,0.067,0.112,983,0.021,2032.59985273814,7244.6432101256,284.665609375977,723.808807560052
"Nevada",3177772,0.503,0.497,0.083,2.62,3.21,0.874,0.055,72333,38183,0.111,0.125,1461,0.058,5979.03184998798,18911.2686498591,459.346989022498,607.092012894569
"New Hampshire",1395231,0.499,0.501,0.085,2.44,2.98,0.945,0.025,89992,49281,0.049,0.072,1396,0.012,1075.09079141734,6217.68008308302,128.580858653513,385.599230521684
"New Jersey",9261699,0.493,0.507,0.085,2.59,3.16,0.907,0.05,96346,51272,0.068,0.097,1555,0.05,5128.64864211199,23549.480500284,217.94057440217,87.4893472569126
